['5', 'Crime', '2', '3.0', '867039249']
['5', 'Comedy', '2', '3.0', '867039249']
['1408', 'Action', '15', '5.0', '1346008714']
['1408', 'Adventure', '15', '5.0', '1346008714']
['524', 'Drama', '24', '2.0', '979870484']
['524', 'Crime', '24', '2.0', '979870484']
['1408', 'Action', '24', '3.0', '979870731']
['1408', 'Adventure', '24', '3.0', '979870731']
['902', 'Fantasy', '36', '2.0', '965349039']
['902', 'Science Fiction', '36', '2.0', '965349039']
['902', 'Adventure', '36', '2.0', '965349039']
['5', 'Crime', '40', '4.0', '862515493']
['5', 'Comedy', '40', '4.0', '862515493']
['902', 'Fantasy', '41', '4.0', '1445255341']
['902', 'Science Fiction', '41', '4.0', '1445255341']
['902', 'Adventure', '41', '4.0', '1445255341']
['524', 'Drama', '43', '2.5', '1179200291']
['524', 'Crime', '43', '2.5', '1179200291']
['902', 'Fantasy', '43', '4.5', '1179197971']
['902', 'Science Fiction', '43', '4.5', '1179197971']
['902', 'Adventure', '43', '4.5', '1179197971']
['63', 'Science Fiction', '46', '2.5', '1090960370']
['63', 'Thriller', '46', '2.5', '1090960370']
['63', 'Mystery', '46', '2.5', '1090960370']
['902', 'Fantasy', '47', '5.0', '1036709534']
['902', 'Science Fiction', '47', '5.0', '1036709534']
['902', 'Adventure', '47', '5.0', '1036709534']
['902', 'Fantasy', '53', '5.0', '938811917']
['902', 'Science Fiction', '53', '5.0', '938811917']
['902', 'Adventure', '53', '5.0', '938811917']
['5', 'Crime', '54', '5.0', '986221889']
['5', 'Comedy', '54', '5.0', '986221889']
['5', 'Crime', '56', '4.0', '1410105373']
['5', 'Comedy', '56', '4.0', '1410105373']
['1408', 'Action', '65', '4.0', '949117458']
['1408', 'Adventure', '65', '4.0', '949117458']
['902', 'Fantasy', '67', '3.5', '1296082245']
['902', 'Science Fiction', '67', '3.5', '1296082245']
['902', 'Adventure', '67', '3.5', '1296082245']
['1408', 'Action', '68', '4.5', '1177086107']
['1408', 'Adventure', '68', '4.5', '1177086107']
['524', 'Drama', '71', '2.0', '1272162549']
['524', 'Crime', '71', '2.0', '1272162549']
['902', 'Fantasy', '77', '4.0', '956332902']
['902', 'Science Fiction', '77', '4.0', '956332902']
['902', 'Adventure', '77', '4.0', '956332902']
['5', 'Crime', '87', '2.0', '867427886']
['5', 'Comedy', '87', '2.0', '867427886']
['5', 'Crime', '91', '3.0', '838546731']
['5', 'Comedy', '91', '3.0', '838546731']
['5', 'Crime', '93', '3.0', '835061814']
['5', 'Comedy', '93', '3.0', '835061814']
['1408', 'Action', '98', '3.5', '1115067517']
['1408', 'Adventure', '98', '3.5', '1115067517']
['5', 'Crime', '101', '4.0', '850689925']
['5', 'Comedy', '101', '4.0', '850689925']
['1408', 'Action', '115', '4.0', '938831142']
['1408', 'Adventure', '115', '4.0', '938831142']
['5', 'Crime', '118', '3.0', '859364983']
['5', 'Comedy', '118', '3.0', '859364983']
['524', 'Drama', '120', '3.0', '1211654817']
['524', 'Crime', '120', '3.0', '1211654817']
['902', 'Fantasy', '120', '4.5', '1211654390']
['902', 'Science Fiction', '120', '4.5', '1211654390']
